question,answer
What is your name?,My name is FAQ Chatbot.
What is refund policy?,Our refund policy lasts 30 days.
How can I contact support?,You can contact support via email at support@example.com.
Where are you located?,We are located in New York.
What are your business hours?,"Our business hours are Monday to Friday, 9 AM to 5 PM."
What services do you offer?,"We offer a variety of services including web development, graphic design, and digital marketing."
How do I reset my password?,You can reset your password by clicking on the 'Forgot Password' link on the login page.
What payment methods do you accept?,"We accept Visa, MasterCard, PayPal, and bank transfers."
Do you offer international shipping?,"Yes, we offer international shipping to most countries."
Who is your father?,"I am an AI, I don't have a father."
